,search_term,cnt
1107,dj,3095
1108,r1,3094
1109,motorbikes,3091
1110,vuka,3087
1111,toyota hilux 4x4,3087
1112,golf6,3079
1113,standerton,3078
1114,samsung a3,3072
1115,isuzu kb300,3067
1116,vw golf 5,3066
1117,toyota corolla engines,3066
1118,kx,3065
1119,non runners for sale,3063
1120,harrismith,3061
1121,shelving,3060
1122,ix35,3055
1123,bmw z3,3052
1124,golf carts,3051
1125,s7 edge,3051
1126,boulevard,3049
1127,mtb,3047
1128,bullbar,3043
1129,twisp,3042
1130,c180,3039
1131,pram,3036
1132,golf 3 gti,3032
1133,sound system,3031
1134,rims for sale for bmw,3031
1135,silverton,3026
1136,wedding,3023
1137,diagnostic,3020
1138,pcp,3012
1139,northern cape,3010
1140,pumps,3007
1141,lydenburg,3003
1142,nissan tiida,2998
1143,daihatsu,2996
1144,aprilia,2987
1145,bmw rims,2986
1146,gate,2985
1147,range rover sport,2983
1148,chopper,2976
1149,mazda rustler bakkie,2972
1150,go cart,2966
1151,330d,2966
1152,dvd player,2965
1153,swing,2962
1154,citi rox,2961
1155,toyota landcruiser,2958
1156,dog,2954
1157,titleist,2953
1158,batteries,2949
1159,golf mk2,2944
1160,anglia,2944
1161,corrola,2942
1162,jack,2939
1163,samsung note 4,2934
1164,german shepherd,2930
1165,bachelor flats for rent pretoria,2929
1166,wildtrak,2928
1167,tvs,2925
1168,vw amarok,2925
1169,bmw gs,2922
1170,brackenfell,2918
1171,planters,2915
1172,tlb for sale tlb for sale tlb for sale,2913
1173,business,2911
1174,bath,2910
1175,p9,2910
1176,broken,2908
1177,unimog,2905
1178,gomoto,2904
1179,bmw 5 series,2901
1180,slk,2900
1181,terios,2893
1182,rooms,2888
1183,samsung galaxy,2884
1184,stand for sale,2881
1185,sofas,2876
1186,jabulani,2875
1187,bikes for sale,2874
1188,125cc,2874
1189,dakar,2872
1190,audi rs3,2869
1191,toyota corrolla,2868
1192,mazda bt 50,2865
1193,strand,2860
1194,nissan micra,2857
1195,cot,2856
1196,note 5,2854
1197,r5000,2853
1198,curtains,2852
1199,shepherd,2850
1200,admin,2847
1201,loader,2843
1202,casio,2843
1203,350z,2839
1204,compactum,2839
1205,hard drives,2838
1206,tongaat,2836
1207,motard,2835
1208,naturena,2835
1209,lenovo,2833
1210,cupboard,2833
1211,boat for sale,2830
1212,tv stands,2827
1213,accident damage,2827
1214,f100,2817
1215,corolla rxi,2810
1216,worcester,2808
1217,mobile kitchen,2807
1218,scuba,2805
1219,chevrolet spark,2805
1220,bmw e30 325i,2801
1221,yz 250,2801
1222,tiida,2792
1223,mercedes benz 230e,2791
1224,honda civic vtec,2790
1225,c10,2784
1226,wedding dress,2784
1227,milling machine,2784
1228,vw jetta 3,2784
1229,computers,2783
1230,samsung note 5,2782
1231,vryburg,2780
1232,polaris,2780
1233,dogs border collie,2774
1234,rx7,2771
1235,323,2764
1236,ford bakkie,2764
1237,hammanskraal,2764
1238,stretch tents,2762
1239,rockford,2760
1240,zafira,2755
1241,tata indica,2749
1242,antique furniture,2748
1243,monitors,2744
1244,parklands,2743
1245,bmw e34,2743
1246,rubber duck,2743
1247,toyota corola,2742
1248,butchery,2741
1249,generators,2739
1250,car seat,2738
1251,motor bikes,2738
1252,ps vita,2734
1253,gas,2734
1254,roxs,2733
1255,nissan gtr,2731
1256,inverter,2729
1257,strada,2729
1258,tippers,2727
1259,makita,2727
1260,bows,2725
1261,wheels,2724
1262,walka,2721
1263,r35000,2720
1264,pallet,2717
1265,nissan sentra sti,2714
1266,dining table,2712
